"questions","keys","datadic","value","valuelabels"
"Weekend Texting/Messaging Hours per Day","IUQ_We_Text_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Texting/Messaging primary time of Day","IUQ_We_Text_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekend Texting/Messaging primary device","IUQ_We_Text_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Texting/Messaging parent monitor","IUQ_We_Text_Monitor","IUQ_SR","Yes, No",""
"Weekend Texting/Messaging parent restriction","IUQ_We_Text_Restrict","IUQ_SR","Yes, No",""
"Weekdays Homework Frequency","IUQ_Wd_HomeWork_Freq","IUQ_SR","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Homework Hours per Day","IUQ_Wd_HomeWork_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Homework primary time of Day","IUQ_Wd_HomeWork_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekdays Homework primary device","IUQ_Wd_Homework_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Homework parent monitor","IUQ_Wd_HomeWork_Monitor","IUQ_SR","Yes, No",""
"Weekdays Homework parent restriction","IUQ_Wd_Homework_Restrict","IUQ_SR","Yes, No",""
"Weekend Homework Frequency ","IUQ_We_HomeWork_Freq","IUQ_SR","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Homework Hours per Day","IUQ_We_HomeWork_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Homework primary time of Day","IUQ_We_HomeWork_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekend Homework primary device","IUQ_We_Homework_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Homework parent monitor","IUQ_We_HomeWork_Monitor","IUQ_SR","Yes, No",""
"Weekend Homework parent restriction","IUQ_We_Homework_Restrict","IUQ_SR","Yes, No",""
"Weekdays TV and Movies Frequency","IUQ_Wd_TV_Freq","IUQ_SR","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays TV and Movies Hours per Day","IUQ_Wd_TV_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays TV and Movies primary time of Day","IUQ_Wd_TV_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekdays TV and Movies primary device","IUQ_Wd_TV_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays TV and Movies parent monitor","IUQ_Wd_TV_Monitor","IUQ_SR","Yes, No",""
"Weekdays TV and Movies parent restriction","IUQ_Wd_TV_Restrict","IUQ_SR","Yes, No",""
"Weekend TV and Movies Frequency ","IUQ_We_TV_Freq","IUQ_SR","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend TV and Movies Hours per Day","IUQ_We_TV_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend TV and Movies primary time of Day","IUQ_We_TV_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekend TV and Movies primary device","IUQ_We_TV_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekend TV and Movies parent monitor","IUQ_We_TV_Monitor","IUQ_SR","Yes, No",""
"Weekend TV and Movies parent restriction","IUQ_We_TV_Restrict","IUQ_SR","Yes, No",""
"Weekdays Music Frequency","IUQ_Wd_Music_Freq","IUQ_SR","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Music Hours per Day","IUQ_Wd_Music_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Music primary time of Day","IUQ_Wd_Music_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekdays Music primary device","IUQ_Wd_Music_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Music parent monitor","IUQ_Wd_Music_Monitor","IUQ_SR","Yes, No",""
"Weekdays Music parent restriction","IUQ_Wd_Music_Restrict","IUQ_SR","Yes, No",""
"Weekend Music Frequency ","IUQ_We_Music_Freq","IUQ_SR","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Music Hours per Day","IUQ_We_Music_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Music primary time of Day","IUQ_We_Music_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekend Music primary device","IUQ_We_Music_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Music parent monitor","IUQ_We_Music_Monitor","IUQ_SR","Yes, No",""
"Weekend Music parent restriction","IUQ_We_Music_Restrict","IUQ_SR","Yes, No",""
"Weekdays Reading and News Media Frequency","IUQ_Wd_Reading_Freq","IUQ_SR","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Reading and News Media Hours per Day","IUQ_Wd_Reading_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Reading and News Media primary time of Day","IUQ_Wd_Reading_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekdays Reading and News Media primary device","IUQ_Wd_Reading_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Reading and News Media parent monitor","IUQ_Wd_Reading_Monitor","IUQ_SR","Yes, No",""
"Weekdays Reading and News Media parent restriction","IUQ_Wd_Reading_Restrict","IUQ_SR","Yes, No",""
"Weekend Reading and News Media Frequency ","IUQ_We_Reading_Freq","IUQ_SR","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Reading and News Media Hours per Day","IUQ_We_Reading_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Reading and News Media primary time of Day","IUQ_We_Reading_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekend Reading and News Media primary device","IUQ_We_Reading_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Reading and News Media parent monitor","IUQ_We_Reading_Monitor","IUQ_SR","Yes, No",""
"Weekend Reading and News Media parent restriction","IUQ_We_Reading_Restrict","IUQ_SR","Yes, No",""
"Other Activity Discription","IUQ_Other_Activity","IUQ_SR","",""
"Weekdays Other Frequency","IUQ_Wd_Other_Freq","IUQ_SR","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Other Hours per Day","IUQ_Wd_Other_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Other primary time of Day","IUQ_Wd_Other_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekdays Other primary device","IUQ_Wd_Other_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Other parent monitor","IUQ_Wd_Other_Monitor","IUQ_SR","Yes, No",""
"Weekdays Other parent restriction","IUQ_Wd_Other_Restrict","IUQ_SR","Yes, No",""
"Weekend Other Frequency ","IUQ_We_Other_Freq","IUQ_SR","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Other Hours per Day","IUQ_We_Other_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Other primary time of Day","IUQ_We_Other_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekend Other primary device","IUQ_We_Other_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Other parent monitor","IUQ_We_Other_Monitor","IUQ_SR","Yes, No",""
"Weekend Other parent restriction","IUQ_We_Other_Restrict","IUQ_SR","Yes, No",""
"Was KBIT Complete?","KBIT_Complete","KBIT","0-1","0 = No, 1 = Yes"
"If no, reason:","KBIT_Incomplete_Reason","KBIT","",""
"Was this administration valid?","KBIT_Valid","KBIT","0-1","0 = No, 1 = Yes"
"If no, reason:","KBIT_Invalid_Reason","KBIT","0-2","0 = Other, 1 = Did not follow rules of test, 2 = Behavioral issues, 3 = Already tested"
"Scores","","KBIT","",""
"Nonverbal Raw Score","KBIT_NV_Raw","KBIT","",""
"Nonverbal Standard Score","KBIT_NV_Standard","KBIT","",""
"Nonverbal Percentile Rank","KBIT_NV_P","KBIT","",""
"Nonverbal Descriptive Category","KBIT_NV_Desc","KBIT","",""
"Verbal Raw Score","KBIT_V_Raw","KBIT","",""
"Verbal Standard Score","KBIT_V_Standard","KBIT","",""
"Verbal Percentile Rank","KBIT_V_P","KBIT","",""
"Verbal Descriptive Category","KBIT_V_Desc","KBIT","",""
"IQ Composite Standard Score","KBIT_IQ_Comp","KBIT","",""
"IQ Composite Percentile Rank","KBIT_IQ_P","KBIT","",""
"IQ Composite Descriptive Category","KBIT_IQ_Desc","KBIT","",""
"1. S/he felt miserable or unhappy.","MFQ_P_01","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"2. S/he didn't enjoy anything at all.","MFQ_P_02","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"3. S/he was less hungry than usual.","MFQ_P_03","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"4. S/he ate more than usual.","MFQ_P_04","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"5. S/he felt so tired s/he just sat around and did nothing.","MFQ_P_05","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"6. S/he was moving and walking more slowly than usual.","MFQ_P_06","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"7. S/he was very restless.","MFQ_P_07","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"8. S/he felt s/he was no good anymore.","MFQ_P_08","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"9. S/he blamed him/herself for things that weren't his/her fault.","MFQ_P_09","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"10. It was hard for him/her to make up his/her mind.","MFQ_P_10","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"11. S/he felt grumpy and cross with his/her parents.","MFQ_P_11","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"12. S/he felt like talking less than usual.","MFQ_P_12","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"13. S/he was talking more slowly than usual.","MFQ_P_13","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"14. S/he cried a lot.","MFQ_P_14","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"15. S/he thought there was nothing good for him/her in the future.","MFQ_P_15","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"16. S/he thought that life wasn't worth living.","MFQ_P_16","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"17. S/he thought about death or dying.","MFQ_P_17","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"18. S/he thought his/her family would be better off without him/her.","MFQ_P_18","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"19. S/he thought about killing him/herself.","MFQ_P_19","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"20. S/he didn't want to see his/her friends.","MFQ_P_20","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"21. S/he found it hard to think properly or concentrate.","MFQ_P_21","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"22. S/he thought bad things would happen to him/her.","MFQ_P_22","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"23. S/he hated him/herself.","MFQ_P_23","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"24. S/he felt s/he was a bad person.","MFQ_P_24","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"25. S/he thought s/he looked ugly.","MFQ_P_25","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"26. S/he worried about aches and pains.","MFQ_P_26","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"27. S/he felt lonely.","MFQ_P_27","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"28. S/he thought nobody really loved him/her.","MFQ_P_28","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"29. S/he didn't have any fun in school.","MFQ_P_29","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"30. S/he thought s/he could never be as good as other kids.","MFQ_P_30","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"31. S/he did everything wrong.","MFQ_P_31","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"32. S/he didn't sleep as well as s/he usually sleeps.","MFQ_P_32","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"33. S/he slept a lot more than usual.","MFQ_P_33","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"34. S/he wasn't as happy as usual, even when s/he was praised or rewarded.","MFQ_P_34","MFQ_P","0-2","0= Not True, 1= Sometimes, 2= True"
"Scores","","MFQ_P","",""
"Total Score","MFQ_P_Total","MFQ_P","",""
"1. I felt miserable or unhappy.","MFQ_SR_01","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"2. I didn't enjoy anything at all.","MFQ_SR_02","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"3. I was less hungry than usual.","MFQ_SR_03","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"4. I ate more than usual.","MFQ_SR_04","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"5. I felt so tired I just sat around and did nothing.","MFQ_SR_05","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"6. I was moving and walking more slowly than usual.","MFQ_SR_06","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"7. I was very restless.","MFQ_SR_07","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"8. I felt I was no good anymore.","MFQ_SR_08","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"9. I blamed myself for things that weren't my fault.","MFQ_SR_09","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"10. It was hard for me to make up my mind.","MFQ_SR_10","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"11. I felt grumpy and cross with my parents.","MFQ_SR_11","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"12. I felt like talking less than usual.","MFQ_SR_12","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"13. I was talking more slowly than usual.","MFQ_SR_13","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"14. I cried a lot.","MFQ_SR_14","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"15. I thought there was nothing good for me in the future.","MFQ_SR_15","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"16. I thought that life wasn't worth living.","MFQ_SR_16","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"17. I thought about death or dying.","MFQ_SR_17","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"18. I thought my family would be better off without me.","MFQ_SR_18","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"19. I thought about killing myself.","MFQ_SR_19","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"20. I didn't want to see my friends.","MFQ_SR_20","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"21. I found it hard to think properly or concentrate.","MFQ_SR_21","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"22. I thought bad things would happen to me.","MFQ_SR_22","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"23. I hated myself.","MFQ_SR_23","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"24. I felt I was a bad person.","MFQ_SR_24","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"25. I thought I looked ugly.","MFQ_SR_25","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"26. I worried about aches and pains.","MFQ_SR_26","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"27. I felt lonely.","MFQ_SR_27","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"28. I thought nobody really loved me.","MFQ_SR_28","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"29. I didn't have any fun in school.","MFQ_SR_29","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"30. I thought I could never be as good as other kids.","MFQ_SR_30","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"31. I did everything wrong.","MFQ_SR_31","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"32. I didn't sleep as well as I usually sleep.","MFQ_SR_32","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"33. I slept a lot more than usual.","MFQ_SR_33","MFQ_SR","0-2","0=Not True, 1= Sometimes, 2=True"
"Scores","","MFQ_SR","",""
"Total Score","MFQ_SR_Total","MFQ_SR","",""
"Did participant qualify for MRI scan?","Qualify","MRI_Track","0-1","0=No,1=Yes"
"Scan Location","Scan_Location","MRI_Track","1-3","1=Staten Island,2=RUBIC,3=CBIC"
"Were all scans completed?","Complete","MRI_Track","1-3","1=All scans complete,2=Dropped out/some scans complete,3=No scans complete"
"If incomplete, reason:","incomplete_reason","MRI_Track","",""
"Clinical Impression","Clinical_Impression","MRI_Track","03.01.2020","1 = Within Normal Limits,2 = Findings Not Clinically Significant,3 = Abnormal"
"Peer 1 complete?","Peer1","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"Resting State 1 complete?","RS","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"Peer 2 complete?","Peer2","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"Movie 1 (Despicable Me) complete?","Movie1","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"Peer 3 complete?","Peer3","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"T1W complete?","T1W","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"T2-FLAIR (Fluid attenuated inversion recovery) complete?","T2Flair","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"T2-SPACE complete?","T2Space","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"Field Maps complete?","FM","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"Diffusion Weighted Image B=0 PA-AX complete?","DWI_PAAX","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"Diffusion Weighted Image B=0 AP-AX complete?","DWI_APAX","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"Diffusion Kurtosis Imaging 64 Directions AP complete?","DKI64","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"Movie 2 (The Present) complete?","Movie2","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"Resting State 2 complete?","RS2","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"Magnetization Transfer On complete?","MT_ON","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"Magnetization Transfer Off complete?","MT_OFF","MRI_Track","0-2","0=No,1=Yes,2=Partial"
"Age","Age","NIH_Full","",""
"Sex","Sex","NIH_Full","1-2","1=Male, 2= Female"
"Handedness","Handedness","NIH_Full","1-2","1=Right, 2= Left"
"Card Sort Test (3-7, 8-11, 12+)","","NIH_Full","",""
"Card Sort Raw Score","NIH_Card_Sort_Raw","NIH_Full","",""
"Card Sort Item Count","NIH_Card_Sort_Itm_Cnt","NIH_Full","",""
"Card Sort Computed Score","NIH_Card_Sort_Computed_Score","NIH_Full","",""
"Card Sort Uncorrected Standard Score","NIH_Card_Sort_Uncorr_Stnd","NIH_Full","",""
"Card Sort Age-Corrected Standard Score","NIH_Card_Sort_Age_Corr_Stnd","NIH_Full","",""
"Card Sort Instrument Breakoff","NIH_Card_Sort_Inst_Breakoff","NIH_Full","",""
"Card Sort Instrument Status","NIH_Card_Sort_Inst_Status","NIH_Full","",""
"Was Card Sort Rescored?","NIH_Card_Sort_Rescored","NIH_Full","",""
"Flanker Inhibitory Control and Attention Test (3-7, 8-11, 12+)","","NIH_Full","",""
"Flanker Raw Score","NIH_Flanker_Raw","NIH_Full","",""
"Flanker Item Count","NIH_Flanker_Itm_Cnt","NIH_Full","",""
"Flanker Computed Score","NIH_Flanker_Computed_Score","NIH_Full","",""
"Flanker Uncorrected Standard Score","NIH_Flanker_Uncorr_Stnd","NIH_Full","",""
"Flanker Age-Corrected Standard Score","NIH_Flanker_Age_Corr_Stnd","NIH_Full","",""
"Flanker Instrument Breakoff","NIH_Flanker_Inst_Breakoff","NIH_Full","",""
"Flanker Instrument Status","NIH_Flanker_Inst_Status","NIH_Full","",""
"Was Flanker Rescored?","NIH_Flanker_Rescored","NIH_Full","",""
"List Sorting Working Memory Test (3-6, 7+)","","NIH_Full","",""
"List Sort Raw Score","NIH_List_Sort_Raw","NIH_Full","",""
"List Sort Item Count","NIH_List_Sort_Itm_Cnt","NIH_Full","",""
"List Sort Computed Score","NIH_List_Sort_Computed_Score","NIH_Full","",""
"List Sort Uncorrected Standard Score","NIH_List_Sort_Uncorr_Stnd","NIH_Full","",""
"List Sort Age-Corrected Standard Score","NIH_List_Sort_Age_Corr_Stnd","NIH_Full","",""
"List Sort Instrument Breakoff","NIH_List_Sort_Inst_Breakoff","NIH_Full","",""
"List Sort Instrument Status","NIH_List_Sort_Inst_Status","NIH_Full","",""
"Was List Sort Rescored?","NIH_List_Sort_Rescored","NIH_Full","",""
"Pattern Comparison Processing Speed (3-6, 7+)","","NIH_Full","",""
"Processing Speed Raw Score","NIH_Processing_Raw","NIH_Full","",""
"Processing Speed Item Count","NIH_Processing_Itm_Cnt","NIH_Full","",""
"Processing Speed Computed Score","NIH_Processing_Computed_Score","NIH_Full","",""
"Processing Speed Uncorrected Standard Score","NIH_Processing_Uncorr_Stnd","NIH_Full","",""
"Processing Speed Age-Corrected Standard Score","NIH_Processing_Age_Corr_Stnd","NIH_Full","",""
"Processing Speed Instrument Breakoff","NIH_Processing_Inst_Breakoff","NIH_Full","",""
"Processing Speed Instrument Status","NIH_Processing_Inst_Status","NIH_Full","",""
"Was Processing Speed Rescored?","NIH_Processing_Rescored","NIH_Full","",""
"Picture Vocabulary Test (3+)","","NIH_Full","",""
"Picture Vocabulary Raw Score","NIH_Picture_Vocab_Raw","NIH_Full","",""
"Picture Vocabulary Item Count","NIH_Picture_Vocab_Itm_Cnt","NIH_Full","",""
"Picture Vocabulary Computed Score","NIH_Picture_Vocab_Computed_Score","NIH_Full","",""
"Picture Vocabulary Uncorrected Standard Score","NIH_Picture_Vocab_Uncorr_Stnd","NIH_Full","",""
"Picture Vocabulary Age-Corrected Standard Score","NIH_Picture_Vocab_Age_Corr_Stnd","NIH_Full","",""
"Picture Vocabulary Instrument Breakoff","NIH_Picture_Vocab_Inst_Breakoff","NIH_Full","",""
"Picture Vocabulary Instrument Status","NIH_Picture_Vocab_Inst_Status","NIH_Full","",""
"Was Picture Vocabulary Rescored?","NIH_Picture_Vocab_Rescored","NIH_Full","",""
"Picture Sequence Memory Test (5-6)","","NIH_Full","",""
"Picture Sequence Raw Score","NIH_Picture_Seq_Raw","NIH_Full","",""
"Picture Sequence Item Count","NIH_Picture_Seq_Itm_Cnt","NIH_Full","",""
"Picture Sequence Computed Score","NIH_Picture_Seq_Computed_Score","NIH_Full","",""
"Picture Sequence Uncorrected Standard Score","NIH_Picture_Seq_Uncorr_Stnd","NIH_Full","",""
"Picture Sequence Age-Corrected Standard Score","NIH_Picture_Seq_Age_Corr_Stnd","NIH_Full","",""
"Picture Sequence Instrument Breakoff","NIH_Picture_Seq_Inst_Breakoff","NIH_Full","",""
"Picture Sequence Instrument Status","NIH_Picture_Seq_Inst_Status","NIH_Full","",""
"Was Picture Sequence Rescored?","NIH_Picture_Seq_Rescored","NIH_Full","",""
"Was NIH Toolbox Completed?","NIH7_Complete","NIH_Scores","0-1","0 = No, 1 = Yes"
"If no, reason:","NIH7_Incomplete_Reason","NIH_Scores","",""
"Scores","","NIH_Scores","",""
"Dimensional Change Card Sort Age 3+ Age-adjusted Scale Score","NIH7_Card","NIH_Scores","",""
"Dimensional Change Card Sort Age 3+ National Percentile (age-adjusted)","NIH7_Card_P","NIH_Scores","",""
"Cognition Fluid Composite Age-adjusted Scale Score","NIH7_Cog","NIH_Scores","",""
"Cognition Fluid Composite National Percentile (age-adjusted)","NIH7_Cog_P","NIH_Scores","",""
